GROUP,TIME,COMPONENT,%WGT,%VOL,%MOL,AREA,DEN,RRF,BPC,BPF,sample_id
PARAFFIN,7.227,n-butane,2.692,3.447,3.733,109777.0,0.579,1.015,-0.5,31.1,42910
PARAFFIN,10.815,n-pentane,1.613,1.909,1.801,66215.0,0.626,1.008,36.06,96.908,42910
PARAFFIN,18.185,n-hexane,1.208,1.357,1.129,49783.0,0.659,1.004,68.73,155.714,42910
PARAFFIN,26.727,n-heptane,2.174,2.356,1.748,89963.0,0.684,1.0,98.42,209.156,42910
PARAFFIN,42.843,n-octane,0.129,0.136,0.091,5335.0,0.702,0.998,125.68,258.224,42910
PARAFFIN,57.657,n-nonane,0.084,0.086,0.053,3474.0,0.718,0.996,150.82,303.476,42910
PARAFFIN,66.325,n-decane,0.122,0.124,0.069,5075.0,0.73,0.994,174.15,345.47,42910
PARAFFIN,72.845,n-undecane,0.051,0.051,0.026,2130.0,0.744,0.993,195.9,384.62,42910
PARAFFIN,77.348,n-dodecane,0.014,0.014,0.007,576.0,0.753,0.992,216.3,421.34,42910
PARAFFIN,80.773,n-tridecane,0.003,0.003,0.001,126.0,0.756,0.991,235.4,455.72,42910
PARAFFIN,83.575,n-tetradecane,0.007,0.007,0.003,279.0,0.756,0.991,255.0,491.0,42910
I-PARAFFINS,6.65,i-butane,0.023,0.03,0.032,927.0,0.557,1.015,-11.72,10.904,42910
I-PARAFFINS,7.518,"2,2-dimethylpropane",0.007,0.009,0.008,299.0,0.591,1.008,9.5,49.1,42910
I-PARAFFINS,9.487,i-pentane,7.12,8.517,7.953,292347.0,0.62,1.008,27.84,82.112,42910
I-PARAFFINS,13.253,"2,2-dimethylbutane",0.128,0.146,0.12,5280.0,0.649,1.004,49.73,121.514,42910
I-PARAFFINS,15.883,"2,3-dimethylbutane",0.834,0.934,0.78,34367.0,0.662,1.004,57.98,136.364,42910
I-PARAFFINS,16.207,2-methylpentane,1.295,1.469,1.211,53367.0,0.653,1.004,60.26,140.468,42910
I-PARAFFINS,17.038,3-methylpentane,0.976,1.089,0.913,40245.0,0.664,1.004,63.27,145.886,42910
I-PARAFFINS,19.847,"2,2-dimethylpentane",0.081,0.089,0.065,3361.0,0.674,1.0,79.19,174.542,42910
I-PARAFFINS,20.323,"2,4-dimethylpentane",0.813,0.895,0.654,33633.0,0.673,1.0,80.49,176.882,42910
I-PARAFFINS,20.653,"2,2,3-trimethylbutane",0.041,0.044,0.033,1706.0,0.69,1.0,80.88,177.584,42910
I-PARAFFINS,22.26,"3,3-dimethylpentane",0.104,0.112,0.084,4320.0,0.693,1.0,86.06,186.908,42910
I-PARAFFINS,23.438,2-methylhexane,1.435,1.567,1.154,59392.0,0.679,1.0,90.05,194.09,42910
