Property:,42791: Fuel D for CRC E-129-2 ,"42909: Fuel D + Methanol, 3.70 wt.% Oxygen","42910: Fuel D + Methanol, 5.50 wt.% Oxygen","42911: Fuel D + Ethanol, 3.70 wt.% Oxygen","42912: Fuel D + Ethanol, 5.50 wt.% Oxygen","42913: Fuel D + n-Propanol, 3.70 wt.% Oxygen","42914: Fuel D + n-Propanol, 5.50 wt.% Oxygen","42915: Fuel D + Isobutanol, 3.70 wt.% Oxygen","42916: Fuel D + ETBE, 3.70 wt.% Oxygen","42917: Fuel D + ETBE, 5.50 wt.% Oxygen","42918: Fuel D + DMM, 3.70 wt.% Oxygen","42919: Fuel D + DMM, 5.50 wt.% Oxygen"
Specific Gravity@ 60°F:,0.7397,0.7445,0.7444,0.7445,0.7468,0.748,0.7522,0.7491,0.7416,0.7425,0.7482,0.7524
Density @15.56°C:,0.739,0.7438,0.7437,0.7437,0.746,0.7472,0.7514,0.7484,0.7409,0.7418,0.7474,0.7517
API Gravity @ 60°F:,59.78,58.56,58.58,58.57,57.98,57.68,56.63,57.38,59.3,59.07,57.63,56.57
Research Octane Number:,92.1,95.7,97.3,96.9,98.4,96.4,97.9,96.1,98.0,99.4,90.8,89.8
Motor Octane Number:,85.0,86.4,86.8,87.0,87.9,86.6,87.0,86.3,89.2,91.1,83.4,82.4
Octane Rating:,88.6,91.0,92.0,92.0,93.2,91.5,92.5,91.2,93.6,95.2,87.1,86.1
Sensitivity:,7.1,9.3,10.5,9.9,10.5,9.8,10.9,9.8,8.8,8.3,7.4,7.4
Aromatic Content:,26.4,24.4,24.1,24.2,22.7,23.8,22.2,23.7,20.7,17.3,24.6,23.9
Olefin Content:,5.7,5.3,5.0,5.1,4.8,5.0,4.7,4.9,4.3,3.7,5.2,5.0
Saturate Content:,67.9,63.3,60.5,60.7,57.6,58.1,53.3,55.3,50.9,42.9,62.7,59.9
C6 Aromatic Content:,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5
C10+ Aromatic Content:,7.52,6.83,7.02,7.08,6.61,6.86,6.42,6.81,6.0,4.86,7.09,6.9
PMI Gage:,2.43,2.22,2.26,2.3,2.14,2.22,2.1,2.2,1.95,1.59,2.27,2.18
RVP @ 100°F:,7.4,10.81,10.88,8.4,8.3,7.1,7.0,6.7,6.8,6.5,8.7,9.2
Sulfur Content:,9.5,9.1,8.7,8.8,8.6,8.5,7.6,8.1,6.9,5.8,8.9,8.3
Distillations:,,,,,,,,,,,,
Initial BP:,92.0,97.4,98.6,98.3,98.7,97.2,97.9,93.1,97.5,99.4,88.8,88.0
T5%:,127.4,115.0,114.9,126.4,128.0,134.8,137.3,135.5,136.1,138.3,115.6,109.5
T10%:,144.1,119.8,120.0,134.0,135.0,147.6,150.2,152.0,148.6,149.3,128.6,122.5
T20%:,167.7,126.9,127.5,145.0,145.5,164.4,166.9,173.4,164.5,162.2,148.8,140.1
T30%:,190.2,155.8,133.0,153.0,153.6,176.8,178.7,188.9,177.6,172.2,171.5,160.8
T40%:,209.4,203.6,184.0,169.3,159.0,185.2,186.1,199.3,188.9,180.7,196.9,187.2
T50%:,224.1,220.4,216.5,215.6,172.0,192.3,190.7,206.2,199.6,188.7,217.6,212.1
T60%:,238.3,235.3,231.4,232.7,227.1,211.9,195.1,213.3,213.0,199.0,233.4,229.7
T70%:,257.1,252.9,250.2,251.1,246.0,247.7,208.4,227.1,233.1,216.2,252.1,247.3
T80%:,293.5,288.3,283.4,286.4,279.4,283.4,274.8,276.8,268.6,245.7,286.9,281.6
T90%:,341.1,340.1,338.4,340.6,336.5,338.2,335.5,333.3,331.5,319.1,337.4,337.9
T95%:,370.3,367.7,365.7,368.7,365.1,367.7,364.8,364.9,360.2,349.7,367.3,365.7
Final BP:,414.3,415.0,408.2,412.8,409.0,413.1,409.6,411.6,413.1,400.2,414.3,407.4
Recovery:,97.9,97.6,97.4,98.0,98.2,98.0,97.8,97.9,98.2,98.0,97.8,97.6
Residue:,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
Loss:,1.0,1.3,1.5,0.9,0.7,1.0,1.1,1.0,0.7,0.9,1.1,1.3
Drivability Index:,1230.0,1181.0,1168.0,1212.0,1091.0,1136.0,1133.0,1180.0,1153.0,1109.0,1183.0,1158.0
Oxygenate Content:,0.0,,,,,,,,,,,
Methanol Content:,,7.02,10.45,,,,,,,,,
Ethanol Content:,,,,9.98,14.92,,,,,,,
n-Propanol Content:,,,,,,13.11,19.84,,,,,
Isobutanol Content:,,,,,,,,16.15,,,,
ETBE Content:,,,,,,,,,24.1,36.05,,
DMM Content:,,,,,,,,,,,7.47,11.16
Oxygen Content:,0.0,3.75,5.59,3.69,5.5,3.76,5.64,3.75,3.75,5.6,3.61,5.36
Carbon Content:,86.28,82.48,80.68,82.48,80.68,82.44,80.59,82.55,82.47,80.61,82.9,81.24
Hydrogen Content:,13.72,13.76,13.73,13.83,13.82,13.8,13.77,13.7,13.78,13.8,13.49,13.4
C/H Ratio:,6.29,5.993,5.876,5.966,5.838,5.974,5.852,6.027,5.984,5.842,6.145,6.06
H/C Ratio:,1.895,1.988,2.028,1.998,2.041,1.995,2.036,1.977,1.991,2.04,1.939,1.966
O/C Ratio:,0.0,0.034,0.052,0.034,0.051,0.034,0.053,0.034,0.034,0.052,0.033,0.05
Net Heat of Combustion:,43.56,42.11,41.22,41.78,40.94,41.9,41.01,41.78,41.71,41.0,41.94,41.19
Existent Gum (Washed):,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.4
Unwashed Gum:,10.4,9.2,9.2,9.2,8.4,8.8,8.2,8.8,13.2,14.8,9.6,9.8
